route:GET /connectors: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
route:GET /connectors/:name/status: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
route:GET /connectors/catalog: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
route:GET /connectors/image/capabilities: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
route:GET /health: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
route:GET /health/connectors: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
route:GET /health/metrics: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
route:GET /health/ready: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
route:GET /v1/models: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
route:POST /admin/circuit-breaker/reset: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
route:POST /connectors/:name/execute: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
route:POST /execute: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
route:POST /images/generate: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
route:POST /internal/watcher/circuit-breaker/reset: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
route:POST /v1/chat/completions: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
route:POST /v1/prompt-cache/prewarm: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
route:POST /v1/speech/stt: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
route:POST /v1/speech/tts: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
route:POST /v1/speech/vad: verified — served at head, prefix None consistent (route excluded from the prefix), controller registered
